user_id,customer_id,transaction_amount,transaction_type,transaction_date
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b764487f-12ca-4f94-9954-0806220e1de2,3000,credit,2021-06-18
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b764487f-12ca-4f94-9954-0806220e1de2,1000,credit,2021-07-20
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b764487f-12ca-4f94-9954-0806220e1de2,3000,credit,2021-05-26
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b764487f-12ca-4f94-9954-0806220e1de2,5000,credit,2021-04-25
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b764487f-12ca-4f94-9954-0806220e1de2,8200,credit,2021-05-29
a81332fd-3665-4dbc-a91f-6c7180b96869,b76db2cc-8d79-4bc1-b930-a8e36aa1e8fa,3000,credit,2021-05-22
a81332fd-3665-4dbc-a91f-6c7180b96869,b76db2cc-8d79-4bc1-b930-a8e36aa1e8fa,6000,credit,2021-05-05
1fc626f7-68fb-443e-85b1-fa8fdf56caf9,b779ee31-021e-4762-9b3f-1f2ab6c3414d,39000,credit,2021-08-02
1fc626f7-68fb-443e-85b1-fa8fdf56caf9,b779ee31-021e-4762-9b3f-1f2ab6c3414d,5000,credit,2021-08-02
ef15a0c7-b7bd-4475-8bcf-38325fc79578,b77d2e80-05d6-4fa1-82c0-8ab055bba3b1,5000,credit,2021-08-26
ef15a0c7-b7bd-4475-8bcf-38325fc79578,b77d2e80-05d6-4fa1-82c0-8ab055bba3b1,8000,credit,2021-06-13
ef15a0c7-b7bd-4475-8bcf-38325fc79578,b77d2e80-05d6-4fa1-82c0-8ab055bba3b1,4000,credit,2021-07-14
44118c1d-c05d-490e-ad7a-c52a1e59fb09,b785bca3-e51e-42b1-9c31-a5ea6dcd0d52,5000,credit,2021-08-06
44118c1d-c05d-490e-ad7a-c52a1e59fb09,b785bca3-e51e-42b1-9c31-a5ea6dcd0d52,10000,credit,2021-07-29
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,200,credit,2021-05-26
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,500,credit,2021-04-28
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,500,credit,2021-05-03
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,300,credit,2021-06-16
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,500,credit,2021-04-25
3a522ec5-34ad-4013-8b86-cdedf7b3ae4b,b7af0808-d752-460b-8277-667085ff0ac5,500,credit,2021-06-02
1fc626f7-68fb-443e-85b1-fa8fdf56caf9,b7d1f549-65b4-4d36-9232-30e765da4356,100000,credit,2021-03-22
a1ae02a7-27da-4b7f-b1b4-89fb36c2a398,b801b83e-5d71-43d1-a55c-a9ab0b0eaa85,100000,credit,2021-07-07
a1ae02a7-27da-4b7f-b1b4-89fb36c2a398,b801b83e-5d71-43d1-a55c-a9ab0b0eaa85,50000,credit,2021-07-09
a1ae02a7-27da-4b7f-b1b4-89fb36c2a398,b801b83e-5d71-43d1-a55c-a9ab0b0eaa85,100000,credit,2021-06-24
a1ae02a7-27da-4b7f-b1b4-89fb36c2a398,b801b83e-5d71-43d1-a55c-a9ab0b0eaa85,200000,credit,2021-07-07
a1ae02a7-27da-4b7f-b1b4-89fb36c2a398,b801b83e-5d71-43d1-a55c-a9ab0b0eaa85,100000,credit,2021-07-11
34fb3e5b-66f3-47b5-8ccc-6aebacbb5ccc,b84b019d-f2e5-467c-8210-c00557b57f21,1000,credit,2021-06-28
34fb3e5b-66f3-47b5-8ccc-6aebacbb5ccc,b84b019d-f2e5-467c-8210-c00557b57f21,1000,credit,2021-05-16
34fb3e5b-66f3-47b5-8ccc-6aebacbb5ccc,b84b019d-f2e5-467c-8210-c00557b57f21,2000,credit,2021-06-01
34fb3e5b-66f3-47b5-8ccc-6aebacbb5ccc,b84b019d-f2e5-467c-8210-c00557b57f21,3000,credit,2021-07-19
359493c4-1dc0-4e36-87e4-a3a8301285d8,b8f6a33a-1d9d-4010-80c0-6375a635ac6b,4000,credit,2021-03-13
359493c4-1dc0-4e36-87e4-a3a8301285d8,b8f6a33a-1d9d-4010-80c0-6375a635ac6b,7000,credit,2021-03-13
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,164160,credit,2021-06-23
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,506840,credit,2021-08-17
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,224640,credit,2021-07-17
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,110400,credit,2021-06-28
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,283920,credit,2021-06-16
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,67070,credit,2021-06-27
c1b34477-2938-4128-b9ba-8fe861588e2d,b9224e1e-ee2f-4e04-bbe5-0f2efacbf647,284440,credit,2021-06-16
35b28e32-221f-422b-ae97-f9416afe294d,b9a98860-9db1-4912-a94d-d264b7365013,41000,credit,2021-06-14
35b28e32-221f-422b-ae97-f9416afe294d,b9c5d83c-9b2d-4c6f-96f2-9b070558626a,29300,credit,2021-06-14
8f7e4a9a-3bc9-40d7-a8e9-bade3156633c,b9e15436-9703-45ca-a5a5-dc687f95a5f7,5000,credit,2021-04-16
8f7e4a9a-3bc9-40d7-a8e9-bade3156633c,b9e15436-9703-45ca-a5a5-dc687f95a5f7,31000,credit,2021-04-02
8f7e4a9a-3bc9-40d7-a8e9-bade3156633c,b9e15436-9703-45ca-a5a5-dc687f95a5f7,3000,credit,2021-04-19
8f7e4a9a-3bc9-40d7-a8e9-bade3156633c,b9e15436-9703-45ca-a5a5-dc687f95a5f7,5000,credit,2021-04-10
e7fc6ff2-9ca6-4bd1-9647-d35b11852fff,b9e89fcb-743f-47b5-9198-1a7bd49a19f8,12500,credit,2020-12-02
dcbc2846-f11d-4694-9573-4c01910a6d5f,ba46d237-eb7c-4502-ba5c-367b21c576f3,500,credit,2021-09-03
dcbc2846-f11d-4694-9573-4c01910a6d5f,ba46d237-eb7c-4502-ba5c-367b21c576f3,5250,credit,2021-09-03
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3850,credit,2021-05-10
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,4000,credit,2021-08-04
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,1000,credit,2021-07-20
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,2000,credit,2021-08-11
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,1,credit,2021-03-03
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3965,credit,2021-07-30
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,4620,credit,2021-04-03
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3950,credit,2021-07-30
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3854,credit,2021-06-12
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3500,credit,2021-07-02
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,3500,credit,2021-03-03
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,5000,credit,2021-07-02
f31904f4-e4cd-42d4-8a83-3e27defe3af8,ba602172-974d-445f-8cbf-1da1d96062fe,2951,credit,2021-08-05
40e7ecda-5567-4077-bba9-7b56ee2a16e3,ba6ec5bb-6794-4dcf-884a-bb306e0f3eb6,100,credit,2021-07-10
40e7ecda-5567-4077-bba9-7b56ee2a16e3,ba6ec5bb-6794-4dcf-884a-bb306e0f3eb6,2470,credit,2021-06-18
97212561-e61a-45d2-a010-db6a0aeb379d,ba995d06-66c1-43e0-ad1c-303af865f281,10000,credit,2021-08-08
dcbc2846-f11d-4694-9573-4c01910a6d5f,baab49cd-67cf-40cd-a814-2c4d47dc796f,1167891,credit,2021-09-05
e7fc6ff2-9ca6-4bd1-9647-d35b11852fff,bab136ec-2dc2-4b89-bae1-6e7cb27c4f47,43350,credit,2020-11-28
e7fc6ff2-9ca6-4bd1-9647-d35b11852fff,bae98140-8657-49b5-92ff-da8ae167c13c,1000,credit,2020-11-28
e7fc6ff2-9ca6-4bd1-9647-d35b11852fff,bae98140-8657-49b5-92ff-da8ae167c13c,2300,credit,2020-11-28
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,13973,credit,2021-04-17
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,1855,credit,2021-08-18
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,13468,credit,2021-06-13
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,33984,credit,2021-03-08
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,12546,credit,2021-06-13
00f8b384-248e-4998-8b90-f8f6124652c5,bb1e53d1-d831-4ff9-810d-45ea410835f6,4681,credit,2021-03-08
9a0fb3a9-a875-451b-ae51-02c33fd8d4a4,bb23c876-cdb4-446d-80f1-b8b51edd583c,8400,credit,2021-08-28
9fce0e99-ea1a-440b-8721-193708f84a45,bb2ce5b3-181d-47aa-a8be-90d41812fc04,35000,credit,2021-08-21
1fc626f7-68fb-443e-85b1-fa8fdf56caf9,bb38d0a5-4097-4ca8-83fe-c664ae263b2b,50000,credit,2021-03-22
a34dc301-b783-4fc6-9dbb-caf5e052a9b5,bb7bd857-4ac8-4001-832d-fc22b7d68f56,42768,credit,2021-06-09
4c49a7df-9c23-4f2d-8249-1fe60f6d7b25,bbd5fbae-7cfd-4d74-8f6a-f225731dfed7,1800,credit,2021-05-30
4c49a7df-9c23-4f2d-8249-1fe60f6d7b25,bbd5fbae-7cfd-4d74-8f6a-f225731dfed7,560,credit,2021-05-18
4c49a7df-9c23-4f2d-8249-1fe60f6d7b25,bbd5fbae-7cfd-4d74-8f6a-f225731dfed7,1860,credit,2021-07-01
65d5eb25-5788-4939-ba5e-0d2c87e83861,bbf11371-3017-4152-9333-81aa6319479c,40000,credit,2021-05-22
a81332fd-3665-4dbc-a91f-6c7180b96869,bbff1372-488d-400f-8c91-8fe056fdaef4,2000,credit,2021-05-05
